,IMDb Id,Companion(split),Actor
1364,0562927,The King,Gerald Flood
1365,0811708,Tegan,Janet Fielding
1366,0811708,Turlough,Mark Strickson
1367,0811708,The King,Gerald Flood
1368,0123044,Tegan,Janet Fielding
1369,0123044,Turlough,Mark Strickson
1370,0123044,Sarah Jane Smith,Elisabeth Sladen
1371,0123044,Susan Foreman,Carole Ann Ford
1372,0123044,Brigadier Lethbridge Stewart,Nicholas Courtney
1373,0123044,Romana,Lalla Ward
1374,0123044,Jamie McCrimmon,Frazer Hines
1375,0123044,Zoe Heriot,Wendy Padbury
1376,0123044,Liz Shaw,Caroline John
1377,0123044,Captain Yates,Richard Franklin
1378,0123044,K9,John Leeson
1379,0562983,Tegan,Janet Fielding
1380,0562983,Turlough,Mark Strickson
1381,0811767,Tegan,Janet Fielding
1382,0811767,Turlough,Mark Strickson
1383,0811768,Tegan,Janet Fielding
1384,0811768,Turlough,Mark Strickson
1385,0811769,Tegan,Janet Fielding
1386,0811769,Turlough,Mark Strickson
1387,0562893,Tegan,Janet Fielding
1388,0562893,Turlough,Mark Strickson
1389,0811867,Tegan,Janet Fielding
1390,0811867,Turlough,Mark Strickson
1391,0562846,Tegan,Janet Fielding
1392,0562846,Turlough,Mark Strickson
1393,0811681,Tegan,Janet Fielding
1394,0811681,Turlough,Mark Strickson
1395,0811682,Tegan,Janet Fielding
1396,0811682,Turlough,Mark Strickson
1397,0811683,Tegan,Janet Fielding
1398,0811683,Turlough,Mark Strickson
1399,0562872,Tegan,Janet Fielding
1400,0562872,Turlough,Mark Strickson
1401,0811835,Tegan,Janet Fielding
1402,0811835,Turlough,Mark Strickson
1403,0811835,Brigadier Lethbridge Stewart,Nicholas Courtney
1404,0811835,Ben Jackson,Michael Craze
1405,0811835,Jamie McCrimmon,Frazer Hines
1406,0811835,Liz Shaw,Caroline John
1407,0811835,Jo Grant,Katy Manning
1408,0811835,Harry Sullivan,Ian Marter
1409,0811835,Zoe Heriot,Wendy Padbury
1410,0811835,Sarah Jane Smith,Elisabeth Sladen
1411,0811835,Nyssa,Sarah Sutton
1412,0811835,Romana,Mary Tamm
1413,0811835,Romana,Lalla Ward
1414,0811835,Adric,Matthew Waterhouse
1415,0811835,Victoria Waterfield,Deborah Watling
1416,0811835,Polly Wright,Anneke Wills
1417,0562866,Turlough,Mark Strickson
1418,0562866,Peri,Nicola Bryant
1419,0562866,Voice of Kamelion,Gerald Flood
1420,0811826,Turlough,Mark Strickson
1421,0811826,Peri,Nicola Bryant
1422,0811826,Voice of Kamelion,Gerald Flood
1423,0811827,Turlough,Mark Strickson
1424,0811827,Peri,Nicola Bryant
1425,0811828,Turlough,Mark Strickson
1426,0811828,Peri,Nicola Bryant
1427,0562896,Peri,Nicola Bryant
1428,0811871,Peri,Nicola Bryant
1429,0811872,Peri,Nicola Bryant
1430,0811873,Peri,Nicola Bryant
1431,0811873,Adric,Matthew Waterhouse
1432,0811873,Nyssa,Sarah Sutton
1433,0811873,Tegan,Janet Fielding
1434,0811873,Turlough,Mark Strickson
1435,0811873,Voice of Kamelion,Gerald Flood
1436,0562968,Peri,Nicola Bryant
1437,0811747,Peri,Nicola Bryant
1438,0811748,Peri,Nicola Bryant
1439,0811749,Peri,Nicola Bryant
1440,0562830,Peri,Nicola Bryant
1441,0811654,Peri,Nicola Bryant
1442,0562982,Peri,Nicola Bryant
1443,0811766,Peri,Nicola Bryant
1444,0562931,Peri,Nicola Bryant
1445,0811712,Peri,Nicola Bryant
1446,0562969,Peri,Nicola Bryant
1447,0562969,Jamie,Frazer Hines
1448,0811750,Peri,Nicola Bryant
